bigram,score
leather compani,-222.89604722233
cutleri compani,-186.573021010357
san pedro,-153.482008340587
lackawanna counti,-124.675682915493
congression printer,-102.63619861676996
dog coalit,-94.79043520746971
afford care,-90.91869447550222
dr tugwel,-88.0716973231914
homeland secur,-79.40946102411377
adjust compens,-67.190283536611
subig bay,-66.2392932508962
univers phoenix,-61.3845561227947
african american,-60.33356876372584
act assist,-60.0944086151778
exposit also,-59.5027389987119
depart homeland,-58.35934173342209
public option,-54.9672428721961
assist paymast,-54.09807037774565
watch compani,-53.0533126060861
background check,-51.542014473193
war iraq,-50.579915491750185
presid director,-50.4204245013362
farm board,-50.36246490153146
transport bill,-49.6283035678022
bureau corpor,-48.2789391603617
product board,-47.3338584153414
fas fae,-46.233944941867065
prescript drug,-45.78295060720251
recoveri act,-45.0609332378608
compar statement,-44.8191532113511
tax break,-44.44141805742923
electr energi,-43.9241356688614
climat chang,-42.79695590293463
feet lake,-42.6585769718363
pension act,-41.5279973929446
moment silenc,-40.953422216062
gunshot wound,-40.5240398190375
calumet region,-40.46823487077547
hurrican katrina,-40.15168143881615
prevail wind,-39.3942418213828
milk cream,-39.2594906930437
wage hour,-38.09278382334925
capitol due,-37.6324529570423
standard return,-37.1771637478249
cash regist,-36.1027836342005
secur medicar,-35.94365281766885
fund depart,-35.6421440122214
interest rate,-35.09498766028824
uncondit repeal,-34.90924088825443
gun violenc,-34.90830009532532
clean energi,-34.41285242871836
academ board,-34.2747947854717
middl class,-34.15667205229184
offic war,-33.9520872683215
nobid contract,-33.6462018357923
mass shoot,-33.58489392419556
aid contra,-33.35631810756405
refin compani,-33.3497555925342
freight absorpt,-33.1013890857078
airlin secur,-33.0414845613586
reauthor exportimport,-32.718035117383984
claim pension,-32.6509872761722
bay citi,-32.5954855226733
job act,-31.9820075635308
first respond,-31.71739089569238
care act,-31.251390859426717
recoveri reinvest,-31.141938107648475
silver certif,-30.97724244307396
american recoveri,-30.923698497110557
home owner,-30.914551646126803
stabil board,-30.6222220818529
energi commiss,-30.59730147538253
govern shutdown,-30.5692849307911
wm alden,-30.2625636646229
repeal afford,-30.147443496862934
head start,-30.098972785532055
star war,-30.04802824960705
bus line,-30.023569126724
opioid addict,-29.9166175751218
tea parti,-29.651029518460234
fund bill,-29.4697755270657
financ reform,-29.21605503272728
chain store,-28.8794908801824
report valu,-28.8694969319217
citi los,-28.84865826233255
cuban patriot,-28.7324591200909
watch movement,-28.69590227811439
shut govern,-28.526890008377674
immun citizen,-28.4056510076494
pension also,-28.09010881847939
oldag pension,-27.772232740092335
elev gun,-27.7503972201506
product exclus,-27.3249004254207
exservic men,-27.262331854837257
treati period,-27.2506964495907
million american,-27.037895207542434
expenditur govern,-27.0209675117723
open world,-26.9371253543439
acreag reserv,-26.806331514457
end medicar,-26.778706189618976
sea inland,-26.7304280981202
left behind,-26.72976974692465
one compani,-26.6397272551061
deficit reduct,-26.57208672608164
game refug,-26.558564446954
spoken drama,-26.454981992118075
clean cr,-26.442936175525
legisl budget,-26.4222390449536
stabil corpor,-26.340346238143116
defens effort,-26.0575218544551
war inform,-25.8990147496391
super collid,-25.85715464280485
make america,-25.737411210411487
iraq war,-25.6780141336905
rate duti,-25.64908441731033
enter servic,-25.5805894984405
doughnut hole,-25.4454445794257
immigr reform,-25.41425109145904
local economi,-25.3229078071925
muhammad ali,-25.2121932097076
iraq afghanistan,-25.197318539888514
radio commiss,-25.164393215391662
payabl gold,-25.0896989354611
univers coverag,-25.08542667787659
endicott board,-24.9893720708982
public defens,-24.9125074667844
titl ib,-24.8401635251778
reopen govern,-24.7996528321243
census taken,-24.784674321746103
wage stabil,-24.768755537216634
mx missil,-24.667520060465204
union pacif,-24.597390060659862
mail divis,-24.5767852269592
donald trump,-24.3769278163687
patient bill,-24.293541419122633
contra aid,-24.20998435563914
confeder flag,-23.9597546172817
quota permit,-23.8998601061328
comprehens immigr,-23.77686262869612
citi clerk,-23.7534978309322
african republ,-23.5892297130909
dollar worth,-23.564795213800664
health reform,-23.50408443855706
writ injunct,-23.428601111372
reconstruct financ,-23.406268376949846
foreign coal,-23.145651418529386
offshor oil,-22.9674932018021
claim reject,-22.8944832391741
arm control,-22.8898252149956
civilian suppli,-22.823272626041
vote nafta,-22.6978154629522
hazard wast,-22.654211465455102
atom energi,-22.610287902908258
tribal organ,-22.3266994879967
repeal tafthartley,-22.2597608000876
unemploy benefit,-22.258443050414304
war product,-22.13951693809701
chair rise,-22.12426651863306
snap benefit,-22.059511532236396
occup iraq,-22.059009843665
care reform,-21.92836399924484
properti custodian,-21.898819902145583
execut author,-21.8413438545297
upon articl,-21.7649699702817
cyber secur,-21.737689289945
two dollar,-21.7363440075672
public health,-21.66680338916041
abridg privileg,-21.6382730153533
sea postag,-21.4533822712756
left eye,-21.331344252499477
trial juri,-21.300472706902905
reinvest act,-21.276385830013794
energi crisi,-21.2495304988904
broken immigr,-21.2353821425685
capit surplus,-21.2053933198979
excessprofit tax,-21.14580061102505
recoveri packag,-21.1455664161577
increas rate,-21.105114069051524
transport coal,-20.9949308942337
expand background,-20.9415043545495
furlough plan,-20.867010068747
socal mellon,-20.767365075943225
war premium,-20.669993163781
katrina rita,-20.647254114728
percent american,-20.6368098146084
insur compani,-20.390997644594222
butter maker,-20.3850132374575
cobden club,-20.0469091466464
better protect,-19.9981234379776
treasuri note,-19.904952194255582
revolutionari pension,-19.7657651753529
paramount right,-19.6932014029158
develop atom,-19.6708495211525
armor plate,-19.631436842647016
minimum wage,-19.567793153491877
agricultur colleg,-19.5625313079276
rebuild gulf,-19.5172340277278
open govern,-19.513101848139822
direct iraq,-19.4744331052295
unfair competit,-19.3758305664351
absorb freight,-19.2739639649196
fire escap,-19.2653954088571
ice jam,-19.2649551470225
gulf war,-19.2621790176174
student loan,-19.253907094965356
repeal health,-19.2412934404191
abu ghraib,-19.14878111230555
inland postag,-19.08400729767435
campaign financ,-19.04689497653261
high rate,-18.9970901743444
watch list,-18.9428751092625
oil compani,-18.94264969107994
troop home,-18.9222138620397
bill right,-18.91546974441879
sail steam,-18.8584044669003
bring troop,-18.78210828384098
terrorist watch,-18.7185744174553
assault weapon,-18.716366478587755
captiv nation,-18.710969150620294
behind act,-18.6431979585266
ground better,-18.6381339377515
budget confer,-18.5698831413904
realest lobbi,-18.527337637578665
commission navig,-18.503865194984648
servicepens bill,-18.4723687512295
drug compani,-18.39406574740309
cours iraq,-18.3398910075588
veteran health,-18.317220492925063
direct tax,-18.28888668493431
histor boundari,-18.2706947288568
refere board,-18.2412361966265
naval vessel,-18.2030949379119
gold silver,-18.1326487753347
mcnaryhaugen bill,-18.12938605290805
debt relief,-18.1017368154475
iraqi govern,-18.06648153965535
antisaloon leagu,-18.06589897224588
insur reform,-18.0453381015282
khmer roug,-18.0058272043827
progress caucus,-17.959745972813437
give farmer,-17.9490000310477
farm relief,-17.872543198742708
million job,-17.862801491516336
buy gun,-17.851444092617665
paygo rule,-17.836531615676325
polish peopl,-17.82512508744664
diseas eye,-17.7926783995457
seaward boundari,-17.7820375554931
trade deficit,-17.72637215780242
