bigram,score
judg swayn,785.854073638205
unmark ballot,168.398171822737
general kagan,154.506840613602
fornia madam,138.5311232341644
colleagu senior,135.92695643214634
baler twine,126.54271680371
judg bork,92.92347424621094
lake bluff,87.28062580079823
absenc colleagu,86.2288533579042
favor trade,82.3991735289797
undistributedprofit tax,77.0468294386144
servic connect,69.5650155063394
cove creek,68.7409432446292
al qaeda,67.0799573898465
spring mountain,64.8110797285507
stimulus bill,64.52905941094
trade balanc,62.102999811873
death tax,57.27474559286893
servic court,55.4459052021407
judg archbald,54.9123694384361
coast geodet,54.1702651289941
mae freddi,50.7739554546453
tax increas,50.676487425533615
indian agent,49.9456213384547
war terror,49.35783551647191
god pleas,48.865420796063894
intern materi,48.2182536336217
rais tax,46.813499788137456
job creator,45.332832673458014
irrig survey,45.0123481062082
pleas bless,44.082632210990184
presumpt period,43.3188878072894
takeov health,43.2267542693686
american energi,43.02918051253568
hydraul laboratori,41.4918604002875
atlant pact,41.45314956790875
illeg narcot,41.3791230067791
boat compani,40.6661766043493
care bill,40.64921191313716
expedit servic,40.1705666551201
manufactur jute,39.83122195129809
employ mandat,39.256271716932375
merchant ship,39.1945070007564
wheelerrayburn bill,38.9702723629292
storag facil,38.3793507107127
equal board,37.8154164116678
compound lard,37.4964201538613
teacher empower,37.38881887231838
armi offic,37.32813410722451
equip recruit,37.3274995736823
horizont increas,36.8751503605616
border secur,36.75079984635315
muscl shoal,36.646125924333674
rent supplement,36.4762092303441
sanction relief,36.3770444115483
smoke opium,35.5686301634148
admir kelso,35.384366489748
general petraeus,35.3369714794819
nation defens,35.22317359437059
cap balanc,35.2094570986399
agricultur subject,35.1776812277396
street buffalo,34.8713199409429
salari teacher,34.6130478086601
transit co,34.3888486682437
gate receipt,34.2079087838455
term limit,33.897614219094194
charleston harbor,33.5710341423182
agricultur adjust,33.4005374675132
adjust act,33.2505381752302
choctaw chickasaw,33.095498615765976
clintongor administr,33.0863505643102
prison war,32.89574083590676
citi miami,32.8212823574579
aid britain,32.7813553412954
train wreck,32.4374104653724
pig iron,32.17378907398975
trade promot,31.73626852509135
naval train,31.6030401673169
galveston harbor,31.4763193050904
teacher supervisor,31.417763414822
campus disord,31.3417352709309
sugar equal,31.2970910602696
benefit payment,31.1474609500515
govern takeov,31.139153825302884
term servic,31.1076248703193
judg alito,31.0788987059563
invad haiti,30.6453755460324
weve got,30.54062005152805
admit evid,30.4549077469416
feder debt,30.30012905761829
poverti program,30.2212329238223
present represent,30.1219932832921
longer threat,30.0813320420324
end welfar,30.0792365190843
offic governor,30.0475532037586
sham issu,30.00809976723235
buy foreign,29.9287546544873
capit transit,29.6526485661011
percent social,29.3778126797374
promot author,29.2766703198997
exercis jurisdict,29.2625593470819
raid social,29.165032193612802
iraqi peopl,29.164024320265803
saddam hussein,28.920245931938375
mexican ore,28.732482740990516
americanmad energi,28.701316750476337
transport oil,28.697610843360753
muslim brotherhood,28.5981380550746
american valuat,28.536639752845772
tax relief,28.50732634280803
stock exchang,28.4406713039373
embryon stem,28.306286985744535
human traffick,28.1860010706909
stem cell,28.104011061371512
economi act,28.08811587992403
spend first,28.0535220217914
much get,28.0357152605998
defens mediat,27.9765536056053
submarin boat,27.89509823619201
antelop island,27.8788039991252
secur border,27.8216558486235
lard bill,27.678684702991
cape nome,27.4566616626084
job corp,27.40028580382361
spend social,27.2836366651117
star servic,27.227936349235062
domest dollar,27.2209663364859
rate compens,27.0026988747868
sanctuari citi,26.9950201454838
geodet survey,26.853280352004557
nitrat plant,26.53009573723457
protect america,26.3867959283354
freedom fighter,26.264296373795478
foreign war,26.137834288068298
flexibl tariff,26.082720090568582
hawaiian island,25.99234640832775
presid health,25.807473698276496
corp area,25.75208074582207
tin plate,25.722320600556625
warbuilt vessel,25.4764008736579
report engin,25.4527724361492
execut appoint,25.3610453299955
reserv balanc,25.23720787229063
soldier mexican,25.1665837453905
neutral bill,25.041934296457
foreign fighter,25.0297888809371
growth packag,24.92277521786909
malt beverag,24.8250323978177
owe ill,24.4935751545974
pay poll,24.478162742663947
steam engin,24.3633281530014
charter school,24.362494461882
conserv act,24.3531712645432
energi tax,24.34773228104992
general gorga,24.3304609029855
futur generat,24.2079829919257
railway postoffic,24.2056208142229
war korea,24.1929990311445
approv compact,24.1717486535549
debt stood,24.15401418021824
debt state,24.151088266869507
residu oil,24.089789232019154
said court,24.017958487893562
cadet nurs,23.975411857163085
crime legisl,23.959868025259325
elect commission,23.8206716122528
admit seat,23.7103982638681
health offic,23.6948007127498
consolid return,23.558997331198285
elector board,23.54216464310792
lineitem veto,23.513384552901353
mexican war,23.510654294825287
industrywid bargain,23.5026352622065
mountain slope,23.4440951401119
orlean baton,23.2037161343997
pleasur craft,23.1783827852658
announc colleagu,23.15025263530003
account ill,23.149735789048083
lotteri compani,23.1254165443332
internship experi,23.0704860283811
devic tax,23.047878536402504
captain ead,23.047663908321702
save medicar,23.0277455451098
emerg relief,22.9195645709651
freddi mac,22.771031532067756
lumber industri,22.745147576238203
ramo compean,22.7375879924316
credit corpor,22.713942647786592
precinct return,22.5554520831152
wound knee,22.4269346730341
state depart,22.396193752551945
get fiscal,22.3394604061636
